DOMINIO;TIPO;MARCA;MODELO;AÑO;TIPIFICADA;RTO NRO;VENCIMIENTO RTO;POLIZA NRO;VENCIMIENTO POLIZA;EMPRESA;IDENTIFICACION DEL VEHICULO
AB045EM;BATEA;STOESSEL;SSBL;2017;52,5T;468633;13/8/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AB302LF;TRACTOR;VOLVO;460 4x2T;2017;55,5T;977304;28/2/2027;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AB421DP;TRACTOR;VOLVO;500 4x2 T;2017;60T;900895;6/1/2027;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AB493CP;TRACTOR;VOLVO;460 4x2T;2017;55,5T;458767;2/7/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AB562AN;BATEA;STOESSEL;SSBL;2017;52,5T;458755;1/7/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AB787RB;TRACTOR;VOLVO;460 4x2T;2017;55,5T;652152;23/12/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AB787RS;TRACTOR;VOLVO;460 4x2T;2017;55,5T;265828;8/4/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AB927WL;TRACTOR;VOLVO;460 4x2T;2017;55,5T;274825;2/6/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AB927WN;TRACTOR;VOLVO;460 4x2T;2017;55,5T;268484;21/4/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AB927WU;TRACTOR;VOLVO;460 4x2T;2017;60T;99625;5/3/2027;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AC029DM;BATEA;STOESSEL;SSBL;2017;52,5T;902832;17/1/2027;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AC114PX;TRACTOR;VOLVO;460 4x2T;2017;55,5T;464283;28/7/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AC114PY;TRACTOR;VOLVO;460 4x2T;2017;55,5T;902803;15/1/2027;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AC114PZ;TRACTOR;VOLVO;460 4x2T;2017;55,5T;977390;5/3/2027;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AC114QP;TRACTOR;VOLVO;460 4x2T;2017;55,5T;475815;12/9/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AC114QQ;TRACTOR;VOLVO;460 4x2T;2017;55,5T;974163;25/2/2027;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AC114QR;TRACTOR;VOLVO;460 4x2T;2017;55,5T;900906;7/1/2027;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AC166GP;BATEA;STOESSEL;SSBL;2017;52,5T;900870;5/1/2027;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AC166GQ;TOLVA;AIELLO;310 SR;2017;52,5T;265829;8/4/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AC274IS;TRACTOR;VOLVO;460 4x2T;2018;55,5T;905596;3/2/2027;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AC274LU;TRACTOR;VOLVO;460 4x2T;2018;55,5T;273643;21/5/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AC383ND;TRACTOR;VOLVO;460 4x2T;2018;55,5T;647778;29/11/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AC383OM;TRACTOR;VOLVO;460 4x2T;2018;52,5T;641554;6/11/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AC383PZ;BATEA;CORMETAL;CH29B21;2018;52,5T;900898;6/1/2027;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AC575WN;BATEA;CORMETAL;CH29B21;2018;52,5T;268548;25/4/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AC644YG;BATEA;STOESSEL;SSBL;2018;52,5T;647754;27/11/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AC940FC;BATEA;AIELLO;WHIM SRB 330;2018;52,5T;645543;26/11/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AC995SW;BATEA;STOESSEL;SSBL;2018;52,5T;274949;9/6/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AC995SX;BATEA;STOESSEL;SSBL;2018;52,5T;269823;28/4/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD325HJ;BATEA;AIELLO;WHIM SRB 330;2018;52,5T;268517;23/4/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
AD614JF;TRACTOR;VOLVO;420 6X2T;2019;55,5T;640019;24/10/2026;13348063;10/4/2026;SUCESION DE VECCHI CARLOS LUIS;GCP (CARGAS PELIGROSAS)
